sample,accession,lane
SMRU225,ERS019383,6664_1#9
SMRU226,ERS019384,6664_1#10
SMRU227,ERS019385,6664_1#11
SMRU228,ERS019386,6664_1#12
SMRU229,ERS019387,6664_1#13
SMRU230,ERS019388,6664_1#14
SMRU231,ERS019389,6664_1#15
SMRU232,ERS019390,6664_1#16
SMRU233,ERS019391,6664_1#17
SMRU234,ERS019392,6664_1#18
SMRU235,ERS019393,6664_1#19
SMRU236,ERS019394,6664_1#20
SMRU237,ERS019395,6664_1#21
SMRU238,ERS019396,6664_1#22
SMRU239,ERS019397,6664_1#23
SMRU240,ERS019398,6664_1#24
SMRU241,ERS019399,6673_8#1
SMRU242,ERS019400,6673_8#2
SMRU243,ERS019401,6673_8#3
SMRU244,ERS019402,6673_8#4
SMRU245,ERS019403,6673_8#5
SMRU247,ERS019405,6673_8#7
SMRU249,ERS019407,6673_8#9
SMRU250,ERS019408,6673_8#10
SMRU251,ERS019409,6673_8#11
SMRU252,ERS019410,6673_8#12
SMRU253,ERS019411,6673_8#13
SMRU254,ERS019412,6673_8#14
SMRU255,ERS019413,6673_8#15
SMRU256,ERS019414,6673_8#16
SMRU257,ERS019415,6673_8#17
SMRU258,ERS019416,6673_8#18
SMRU259,ERS019417,6673_8#19
SMRU260,ERS019418,6673_8#20
SMRU261,ERS019419,6673_8#21
SMRU262,ERS019420,6673_8#22
SMRU263,ERS019421,6673_8#23
SMRU264,ERS019422,6673_8#24
SMRU193,ERS019351,6680_8#1
SMRU194,ERS019352,6680_8#2
SMRU195,ERS019353,6680_8#3
SMRU196,ERS019354,6680_8#4
SMRU197,ERS019355,6680_8#5
SMRU198,ERS019356,6680_8#6
SMRU199,ERS019357,6680_8#7
SMRU200,ERS019358,6680_8#8
SMRU201,ERS019359,6680_8#9
SMRU202,ERS019360,6680_8#10
SMRU203,ERS019361,6680_8#11
SMRU204,ERS019362,6680_8#12
SMRU205,ERS019363,6680_8#13
SMRU206,ERS019364,6680_8#14
SMRU207,ERS019365,6680_8#15
SMRU208,ERS019366,6680_8#16
SMRU209,ERS019367,6680_8#17
SMRU210,ERS019368,6680_8#18
SMRU211,ERS019369,6680_8#19
SMRU212,ERS019370,6680_8#20
SMRU213,ERS019371,6680_8#21
SMRU214,ERS019372,6680_8#22
SMRU215,ERS019373,6680_8#23
SMRU216,ERS019374,6680_8#24
SMRU553,ERS019711,6714_8#1
SMRU554,ERS019712,6714_8#2
SMRU555,ERS019713,6714_8#3
SMRU556,ERS019714,6714_8#4
SMRU557,ERS019715,6714_8#5
SMRU558,ERS019716,6714_8#6
SMRU559,ERS019717,6714_8#7
SMRU560,ERS019718,6714_8#8
SMRU561,ERS019719,6714_8#9
SMRU562,ERS019720,6714_8#10
SMRU563,ERS019721,6714_8#11
SMRU565,ERS019723,6714_8#13
SMRU566,ERS019724,6714_8#14
SMRU567,ERS019725,6714_8#15
SMRU568,ERS019726,6714_8#16
SMRU569,ERS019727,6714_8#17
SMRU571,ERS019729,6714_8#19
SMRU572,ERS019730,6714_8#20
SMRU573,ERS019731,6714_8#21
SMRU574,ERS019732,6714_8#22
SMRU575,ERS019733,6714_8#23
SMRU576,ERS019734,6714_8#24
SMRU889,ERS020399,6680_4#1
SMRU890,ERS020400,6680_4#2
SMRU891,ERS020401,6680_4#3
SMRU892,ERS020402,6680_4#4
SMRU893,ERS020403,6680_4#5
SMRU894,ERS020404,6680_4#6
SMRU895,ERS020405,6680_4#7
SMRU896,ERS020406,6680_4#8
SMRU898,ERS020408,6680_4#10
SMRU899,ERS020409,6680_4#11
SMRU900,ERS020410,6680_4#12
SMRU902,ERS020412,6680_4#14
SMRU903,ERS020413,6680_4#15
SMRU904,ERS020414,6680_4#16
SMRU905,ERS020415,6680_4#17
SMRU906,ERS020416,6680_4#18
SMRU907,ERS020417,6680_4#19
SMRU908,ERS020418,6680_4#20
SMRU909,ERS020419,6680_4#21
SMRU910,ERS020420,6680_4#22
SMRU911,ERS020421,6680_4#23
SMRU912,ERS020422,6680_4#24
SMRU913,ERS020423,6680_5#1
SMRU914,ERS020424,6680_5#2
SMRU915,ERS020425,6680_5#3
SMRU916,ERS020426,6680_5#4
SMRU917,ERS020427,6680_5#5
SMRU918,ERS020428,6680_5#6
SMRU919,ERS020429,6680_5#7
SMRU920,ERS020430,6680_5#8
SMRU921,ERS020431,6680_5#9
SMRU922,ERS020432,6680_5#10
SMRU923,ERS020433,6680_5#11
SMRU924,ERS020434,6680_5#12
SMRU925,ERS020435,6680_5#13
SMRU926,ERS020436,6680_5#14
SMRU927,ERS020437,6680_5#15
SMRU928,ERS020438,6680_5#16
SMRU929,ERS020439,6680_5#17
SMRU930,ERS020440,6680_5#18
SMRU931,ERS020441,6680_5#19
SMRU932,ERS020442,6680_5#20
SMRU933,ERS020443,6680_5#21
SMRU934,ERS020444,6680_5#22
SMRU935,ERS020445,6680_5#23
SMRU936,ERS020446,6680_5#24
SMRU938,ERS020448,6680_6#2
SMRU939,ERS020449,6680_6#3
SMRU940,ERS020450,6680_6#4
SMRU941,ERS020451,6680_6#5
SMRU942,ERS020452,6680_6#6
SMRU943,ERS020453,6680_6#7
SMRU945,ERS020455,6680_6#9
SMRU947,ERS020457,6680_6#11
SMRU948,ERS020458,6680_6#12
SMRU949,ERS020459,6680_6#13
SMRU950,ERS020460,6680_6#14
SMRU951,ERS020461,6680_6#15
SMRU952,ERS020462,6680_6#16
SMRU953,ERS020463,6680_6#17
SMRU956,ERS020466,6680_6#20
SMRU957,ERS020467,6680_6#21
SMRU958,ERS020468,6680_6#22
SMRU959,ERS020469,6680_6#23
SMRU961,ERS020471,6680_7#1
SMRU962,ERS020472,6680_7#2
SMRU963,ERS020473,6680_7#3
SMRU964,ERS020474,6680_7#4
SMRU965,ERS020475,6680_7#5
SMRU966,ERS020476,6680_7#6
SMRU967,ERS020477,6680_7#7
SMRU969,ERS020479,6680_7#9
SMRU970,ERS020480,6680_7#10
SMRU971,ERS020481,6680_7#11
SMRU972,ERS020482,6680_7#12
SMRU973,ERS020483,6680_7#13
SMRU974,ERS020484,6680_7#14
SMRU975,ERS020485,6680_7#15
SMRU976,ERS020486,6680_7#16
SMRU977,ERS020487,6680_7#17
SMRU978,ERS020488,6680_7#18
SMRU979,ERS020489,6680_7#19
SMRU980,ERS020490,6680_7#20
SMRU982,ERS020492,6680_7#22
SMRU983,ERS020493,6680_7#23
SMRU984,ERS020494,6680_7#24
SMRU747,ERS020257,6714_7#3
SMRU749,ERS020259,6714_7#5
SMRU750,ERS020260,6714_7#6
SMRU751,ERS020261,6714_7#7
SMRU752,ERS020262,6714_7#8
SMRU753,ERS020263,6714_7#9
SMRU754,ERS020264,6714_7#10
SMRU755,ERS020265,6714_7#11
SMRU756,ERS020266,6714_7#12
SMRU757,ERS020267,6714_7#13
SMRU758,ERS020268,6714_7#14
SMRU759,ERS020269,6714_7#15
SMRU760,ERS020270,6714_7#16
SMRU761,ERS020271,6714_7#17
SMRU762,ERS020272,6714_7#18
SMRU763,ERS020273,6714_7#19
SMRU764,ERS020274,6714_7#20
SMRU765,ERS020275,6714_7#21
SMRU767,ERS020277,6714_7#23
SMRU768,ERS020278,6714_7#24
SMRU578,ERS020088,6730_1#2
SMRU579,ERS020089,6730_1#3
SMRU580,ERS020090,6730_1#4
SMRU581,ERS020091,6730_1#5
SMRU582,ERS020092,6730_1#6
SMRU583,ERS020093,6730_1#7
SMRU584,ERS020094,6730_1#8
SMRU585,ERS020095,6730_1#9
SMRU586,ERS020096,6730_1#10
SMRU587,ERS020097,6730_1#11
SMRU588,ERS020098,6730_1#12
SMRU589,ERS020099,6730_1#13
SMRU590,ERS020100,6730_1#14
SMRU591,ERS020101,6730_1#15
SMRU592,ERS020102,6730_1#16
SMRU593,ERS020103,6730_1#17
SMRU594,ERS020104,6730_1#18
SMRU595,ERS020105,6730_1#19
SMRU596,ERS020106,6730_1#20
SMRU597,ERS020107,6730_1#21
SMRU599,ERS020109,6730_1#23
SMRU600,ERS020110,6730_1#24
SMRU601,ERS020111,6730_3#1
SMRU602,ERS020112,6730_3#2
SMRU603,ERS020113,6730_3#3
SMRU605,ERS020115,6730_3#5
SMRU606,ERS020116,6730_3#6
SMRU608,ERS020118,6730_3#8
SMRU609,ERS020119,6730_3#9
SMRU610,ERS020120,6730_3#10
SMRU611,ERS020121,6730_3#11
SMRU612,ERS020122,6730_3#12
SMRU613,ERS020123,6730_3#13
SMRU614,ERS020124,6730_3#14
SMRU615,ERS020125,6730_3#15
SMRU616,ERS020126,6730_3#16
SMRU617,ERS020127,6730_3#17
SMRU619,ERS020129,6730_3#19
SMRU620,ERS020130,6730_3#20
SMRU622,ERS020132,6730_3#22
SMRU624,ERS020134,6730_3#24
SMRU625,ERS020135,6730_4#1
SMRU626,ERS020136,6730_4#2
SMRU627,ERS020137,6730_4#3
SMRU628,ERS020138,6730_4#4
SMRU629,ERS020139,6730_4#5
SMRU630,ERS020140,6730_4#6
SMRU631,ERS020141,6730_4#7
SMRU632,ERS020142,6730_4#8
SMRU633,ERS020143,6730_4#9
SMRU635,ERS020145,6730_4#11
SMRU636,ERS020146,6730_4#12
SMRU637,ERS020147,6730_4#13
SMRU638,ERS020148,6730_4#14
SMRU639,ERS020149,6730_4#15
SMRU640,ERS020150,6730_4#16
SMRU641,ERS020151,6730_4#17
SMRU642,ERS020152,6730_4#18
SMRU643,ERS020153,6730_4#19
SMRU644,ERS020154,6730_4#20
SMRU645,ERS020155,6730_4#21
SMRU646,ERS020156,6730_4#22
SMRU647,ERS020157,6730_4#23
SMRU648,ERS020158,6730_4#24
SMRU649,ERS020159,6730_5#1
SMRU650,ERS020160,6730_5#2
SMRU651,ERS020161,6730_5#3
SMRU652,ERS020162,6730_5#4
SMRU653,ERS020163,6730_5#5
SMRU654,ERS020164,6730_5#6
SMRU655,ERS020165,6730_5#7
SMRU656,ERS020166,6730_5#8
SMRU658,ERS020168,6730_5#10
SMRU659,ERS020169,6730_5#11
SMRU660,ERS020170,6730_5#12
SMRU662,ERS020172,6730_5#14
SMRU663,ERS020173,6730_5#15
SMRU664,ERS020174,6730_5#16
SMRU665,ERS020175,6730_5#17
SMRU666,ERS020176,6730_5#18
SMRU669,ERS020179,6730_5#21
SMRU670,ERS020180,6730_5#22
SMRU671,ERS020181,6730_5#23
SMRU672,ERS020182,6730_5#24
SMRU673,ERS020183,6730_6#1
SMRU674,ERS020184,6730_6#2
SMRU675,ERS020185,6730_6#3
SMRU676,ERS020186,6730_6#4
SMRU677,ERS020187,6730_6#5
SMRU678,ERS020188,6730_6#6
SMRU679,ERS020189,6730_6#7
SMRU680,ERS020190,6730_6#8
SMRU681,ERS020191,6730_6#9
SMRU682,ERS020192,6730_6#10
SMRU683,ERS020193,6730_6#11
SMRU684,ERS020194,6730_6#12
SMRU685,ERS020195,6730_6#13
SMRU686,ERS020196,6730_6#14
SMRU687,ERS020197,6730_6#15
SMRU690,ERS020200,6730_6#18
SMRU691,ERS020201,6730_6#19
SMRU692,ERS020202,6730_6#20
SMRU693,ERS020203,6730_6#21
SMRU694,ERS020204,6730_6#22
SMRU695,ERS020205,6730_6#23
SMRU696,ERS020206,6730_6#24
SMRU697,ERS020207,6730_7#1
SMRU698,ERS020208,6730_7#2
SMRU699,ERS020209,6730_7#3
SMRU700,ERS020210,6730_7#4
SMRU701,ERS020211,6730_7#5
SMRU702,ERS020212,6730_7#6
SMRU703,ERS020213,6730_7#7
SMRU704,ERS020214,6730_7#8
SMRU705,ERS020215,6730_7#9
SMRU706,ERS020216,6730_7#10
SMRU707,ERS020217,6730_7#11
SMRU708,ERS020218,6730_7#12
SMRU709,ERS020219,6730_7#13
SMRU710,ERS020220,6730_7#14
SMRU711,ERS020221,6730_7#15
SMRU713,ERS020223,6730_7#17
SMRU714,ERS020224,6730_7#18
